,experiment_id,trial_id,created_checkpoint_uuid,experiment_seed,checkpoint_uuid,dataset,encoder,freeze_encoder,global_batch_size,img_rescale_size,keep_enc_fc,lr,method,momentum,normalize_data,pred_head_features,pred_head_structure,scheduler,split_seed,split_size,test_augmentation,train_augmentation,use_larc,weight_decay,auroc,ece,test_acc,test_auroc,test_ece,test_f1,test_loss,v_acc,v_f1,v_loss,method_plain,down_ds,method_label,enc_ds_raw,enc_ds
426,12286,93662,eeaf77a7-09c2-46c4-bfb5-b1e312dc5f47,1643118217,de9fc489-6960-46c4-83b9-c5543f8899be,patchcamelyon,resnet50,True,32,96,True,0.005,paws,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.837250828742981,0.0321058854460716,0.761505126953125,0.838554859161377,0.0303923115134239,0.7614635229110718,0.5059142708778381,0.756195068359375,0.7561394572257996,0.5042608380317688,paws,PCam,PAWS,kather_norm_224,Kather
427,12286,93664,ee7ae273-3941-48f1-bb8a-f2b4eeecba0d,1643118217,de9fc489-6960-46c4-83b9-c5543f8899be,patchcamelyon,resnet50,2620,32,96,True,0.005,paws,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.9173848628997804,0.0579756498336792,0.802490234375,0.896752119064331,0.0768369063735008,0.8009461760520935,0.4674980938434601,0.82403564453125,0.823421835899353,0.3925612568855285,paws,PCam,PAWS,kather_norm_224,Kather
428,12286,93670,49d48fea-8e4d-4169-ac61-a2e15f328659,1643118217,,patchcamelyon,resnet50,True,32,96,True,0.005,paws-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.6051366329193115,0.1302361935377121,0.5885009765625,0.6792271137237549,0.0778680890798568,0.5781122446060181,0.6561545133590698,0.55987548828125,0.545149564743042,0.7423309087753296,paws,PCam,paws-supervised,kather_norm_224,Kather
429,12286,93676,d0e47aa6-cd3d-43db-83fb-cb91ef3a5e79,1643118217,,patchcamelyon,resnet50,2620,32,96,True,0.005,paws-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.7971023917198181,0.0503794848918914,0.702362060546875,0.7757295370101929,0.0662926435470581,0.7021047472953796,0.602922260761261,0.716552734375,0.7163472175598145,0.562597930431366,paws,PCam,paws-supervised,kather_norm_224,Kather
430,12286,93679,5d736c2b-004e-4117-ab46-458f77172f90,1643118217,,patchcamelyon,resnet50,True,32,96,True,0.005,paws-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.6268460750579834,0.1003067791461944,0.597686767578125,0.6597718000411987,0.0763198211789131,0.5946526527404785,0.6893396973609924,0.591888427734375,0.5881183743476868,0.7778154015541077,paws,PCam,paws-supervised,kather_norm_224,Kather
431,12286,93682,44d079ca-e854-41af-b19e-64267670317d,1643118217,,patchcamelyon,resnet50,2620,32,96,True,0.005,paws-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.008,plain,light_stack,False,0.0001,0.8112528324127197,0.0504731908440589,0.69189453125,0.7821098566055298,0.0847112834453582,0.6879763603210449,0.6088440418243408,0.723907470703125,0.7217985391616821,0.5554773807525635,paws,PCam,paws-supervised,kather_norm_224,Kather
432,12288,93665,30c4df56-d097-4a73-8e31-bcc84013cd7e,1643118217,45433f15-321c-4c56-b938-25a3c128f3fc,patchcamelyon,resnet50,2620,32,96,True,0.005,paws,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.8335438966751099,0.1995750218629837,0.70867919921875,0.7874725461006165,0.2426217943429947,0.7077738046646118,1.5275747776031494,0.75543212890625,0.7553527355194092,1.2439630031585691,paws,PCam,PAWS,kather_norm_224,Kather
433,12288,93667,51f3bb8c-a091-4d73-85b5-6f001a282263,1643118217,45433f15-321c-4c56-b938-25a3c128f3fc,patchcamelyon,resnet50,True,32,96,True,0.005,paws,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.791276216506958,0.0372684001922607,0.7301025390625,0.8072665929794312,0.0171753019094467,0.7296887636184692,0.5387512445449829,0.731658935546875,0.7314743995666504,0.585393488407135,paws,PCam,PAWS,kather_norm_224,Kather
434,12288,93674,3d2f14fd-1065-4493-9d99-feadf9d5a4b2,1643118217,,patchcamelyon,resnet50,True,32,96,True,0.005,paws-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.6058598756790161,0.1461412608623504,0.567169189453125,0.636224627494812,0.1212193965911865,0.5649296045303345,0.7151586413383484,0.555267333984375,0.5526487827301025,0.8106874227523804,paws,PCam,paws-supervised,kather_norm_224,Kather
435,12288,93678,fec90827-0aae-42d8-a008-f3483f125728,1643118217,45433f15-321c-4c56-b938-25a3c128f3fc,patchcamelyon,resnet50,True,32,96,True,0.005,paws,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.79759681224823,0.0350664407014846,0.71856689453125,0.795541524887085,0.0330110564827919,0.7182052135467529,0.551829993724823,0.723388671875,0.7232638597488403,0.5718843340873718,paws,PCam,PAWS,kather_norm_224,Kather
436,12288,93680,a290b4c1-374e-4cb4-8af3-20de5a1e5897,1643118217,,patchcamelyon,resnet50,True,32,96,True,0.005,paws-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.6025296449661255,0.129786729812622,0.607025146484375,0.6798648834228516,0.0616220459342002,0.603427529335022,0.6489433646202087,0.562744140625,0.5545510053634644,0.7428844571113586,paws,PCam,paws-supervised,kather_norm_224,Kather
437,12288,93683,40579c21-50e4-486f-bfaa-9c64ca49bae9,1643118217,45433f15-321c-4c56-b938-25a3c128f3fc,patchcamelyon,resnet50,2620,32,96,True,0.005,paws,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.8297243714332581,0.1997978389263153,0.7130126953125,0.7825831174850464,0.2346353530883789,0.7114675045013428,1.2586102485656738,0.74951171875,0.7491641044616699,1.0055440664291382,paws,PCam,PAWS,kather_norm_224,Kather
438,12288,93684,2c5b2a9d-b5c0-49fe-a864-5c38d98ccb9d,1643118217,,patchcamelyon,resnet50,2620,32,96,True,0.005,paws-supervised,0.9,True,128.0,one_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.7647433280944824,0.1787400692701339,0.668853759765625,0.7383360862731934,0.2055048495531082,0.6663028001785278,0.9910956025123596,0.70050048828125,0.6991418600082397,0.9041767120361328,paws,PCam,paws-supervised,kather_norm_224,Kather
439,12288,93688,6cefdc34-18e4-4b52-84bc-3d6ac2563cf5,1643118217,,patchcamelyon,resnet50,2620,32,96,True,0.005,paws-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,0.002,plain,light_stack,False,0.0001,0.7666659355163574,0.1805119067430496,0.67431640625,0.7461521625518799,0.2002417892217636,0.6712199449539185,0.9254761338233948,0.701385498046875,0.6991590261459351,0.8813384175300598,paws,PCam,paws-supervised,kather_norm_224,Kather
440,12290,93668,ee8a54fe-2c1b-4236-bb32-739095b9ac16,1643118217,,patchcamelyon,resnet50,2620,256,96,True,0.005,paws-supervised,0.9,True,128.0,three_layer_mlp,True,42.0,1.0,plain,light_stack,False,0.0001,0.9090027809143066,0.0675228089094162,0.7354736328125,0.8657745122909546,0.126815915107727,0.7255597114562988,0.5892832279205322,0.796905517578125,0.7936481237411499,0.4437418282032013,paws,PCam,paws-supervised,kather_norm_224,Kather
441,12290,93681,6903ca53-e0d6-485a-8197-5ceb30efbd77,1643118217,64ecb7b1-f885-4a29-9536-04e4aa8e8d1b,patchcamelyon,resnet50,True,256,96,True,0.005,paws,0.9,True,128.0,three_layer_mlp,True,42.0,1.0,plain,light_stack,False,0.0001,0.8684813976287842,0.0440882295370101,0.769134521484375,0.8520218133926392,0.0292514655739069,0.7680496573448181,0.4976188540458679,0.778472900390625,0.7780280113220215,0.4718390703201294,paws,PCam,PAWS,kather_norm_224,Kather
442,12290,93689,93782d41-6db6-49dc-a32b-ba7639e7c0b6,1643118217,64ecb7b1-f885-4a29-9536-04e4aa8e8d1b,patchcamelyon,resnet50,True,256,96,True,0.005,paws,0.9,True,128.0,one_layer_mlp,True,42.0,1.0,plain,light_stack,False,0.0001,0.8641476631164551,0.0533036105334758,0.75433349609375,0.8465651273727417,0.0338550321757793,0.751751184463501,0.5144495964050293,0.763519287109375,0.7616925239562988,0.496835857629776,paws,PCam,PAWS,kather_norm_224,Kather
443,12290,93702,77f257e0-fa96-4f8f-a8c1-53df6aef9815,1643118217,64ecb7b1-f885-4a29-9536-04e4aa8e8d1b,patchcamelyon,resnet50,2620,256,96,True,0.005,paws,0.9,True,128.0,three_layer_mlp,True,42.0,1.0,plain,light_stack,False,0.0001,0.9472069144248962,0.0644808784127235,0.8250732421875,0.9421983361244202,0.0914392992854118,0.8214687705039978,0.4349502623081207,0.86383056640625,0.8625227212905884,0.3642217218875885,paws,PCam,PAWS,kather_norm_224,Kather
